group 1,group 2,Cultural Hole
1,1,0.0
1,2,0.17265408758665346
1,3,0.19043990634487196
1,4,0.18302033071963353
1,5,0.19338560628185852
1,6,0.21401838635228443
1,7,0.24655690989024526
1,8,0.2110915647215047
1,9,0.2246192781649602
1,10,0.19656671630521627
2,1,0.1795546559288851
2,2,0.0
2,3,0.2650651570766587
2,4,0.26186692946195633
2,5,0.2382789470508757
2,6,0.2783786385526369
2,7,0.30171646513802186
2,8,0.28546122544611663
2,9,0.2929764077480349
2,10,0.284750427219724
3,1,0.1785136121847717
3,2,0.2553868218515497
3,3,0.0
3,4,0.16722046735125917
3,5,0.18752379486865256
3,6,0.16726795579242193
3,7,0.2206640611473426
3,8,0.1891893917831423
3,9,0.20282655618262635
3,10,0.20313347347109445
4,1,0.1650987939756463
4,2,0.24662542991607395
4,3,0.16968268879082116
4,4,0.0
4,5,0.212014328923812
4,6,0.17583722904436805
4,7,0.22138768334349557
4,8,0.1897883647567793
4,9,0.18861244625491302
4,10,0.171615197808351
5,1,0.17202479728593156
5,2,0.22255844974411
5,3,0.16443053650826656
5,4,0.21055778531573377
5,5,0.0
5,6,0.22279389709567932
5,7,0.2705030094884405
5,8,0.248672794790606
5,9,0.24508612462073764
5,10,0.2272052612019012
6,1,0.19848106653006536
6,2,0.26548080650241535
6,3,0.15060659173803237
6,4,0.15813255709924068
6,5,0.21921623741176033
6,6,0.0
6,7,0.22155227275170952
6,8,0.20667982298565024
6,9,0.20477546473164865
6,10,0.19466970762623037
7,1,0.2606089725543461
7,2,0.32156897380472194
7,3,0.21903145753658393
7,4,0.2216360570501531
7,5,0.28222852342664817
7,6,0.24533911904392902
7,7,0.0
7,8,0.24069366044696894
7,9,0.2508158994748446
7,10,0.2684824160493181
8,1,0.22664213589377602
8,2,0.31132591347062
8,3,0.21414041159300534
8,4,0.217060606228905
8,5,0.2639788415387647
8,6,0.24625023943901503
8,7,0.26237632528611365
8,8,0.0
8,9,0.2604583579045079
8,10,0.23934337846023435
9,1,0.22586991096493003
9,2,0.2980211800483312
9,3,0.18752325468167164
9,4,0.1694019111311219
9,5,0.2534844685040799
9,6,0.20809805979606333
9,7,0.23430196469936926
9,8,0.2196378735573159
9,9,0.0
9,10,0.22592193051352683
10,1,0.130788313716397
10,2,0.292898742375574
10,3,0.20502519802917019
10,4,0.17504960682474224
10,5,0.24381009629117634
10,6,0.21457437548601177
10,7,0.26594402759565805
10,8,0.22185929413849037
10,9,0.23955251080520024
10,10,0.0
